ref,station_distance,pub_date,studio,n_rooms,area,floor,mcc,circle,center_distance,y
/moskva/kvartiry/1-k_kvartira_60_m_68_et._1816966413,8,2020-08-03,0,1,60,6,0,0,5.16538661677811,1.8333333333333333
/moskva/kvartiry/1-k_kvartira_61_m_2627_et._1935621143,10,2020-08-05,0,1,61,26,0,0,6.1962879695970425,1.1475409836065573
/moskva/kvartiry/1-k_kvartira_63_m_218_et._1760375624,8,2020-08-01,0,1,63,2,1,0,10.980569560542696,0.6349206349206349
/moskva/kvartiry/1-k_kvartira_64_m_917_et._1973123963,8,2020-08-14,0,1,64,9,0,0,22.579784132396757,0.59375
/moskva/kvartiry/1-k_kvartira_65_m_218_et._1956395839,8,2020-08-03,0,1,65,2,1,0,10.980569560542696,0.6153846153846154
/moskva/kvartiry/1-k_kvartira_66.5_m_820_et._1980409489,4,2020-08-14,0,1,66,8,0,0,11.337152423327126,0.6363636363636364
/moskva/kvartiry/1-k_kvartira_68_m_38_et._1981360893,5,2020-08-11,0,1,68,3,0,1,3.082867206614293,0.8823529411764706
/moskva/kvartiry/1-k_kvartira_80_m_1112_et._1976603237,4,2020-08-13,0,1,80,11,0,0,3.9429748736368015,2.875
/moskva/kvartiry/1-k_kvartira_80_m_212_et._1969328057,26,2020-08-05,0,1,80,2,0,0,15.656473583949358,0.3125
/moskva/kvartiry/1-k_kvartira_85_m_723_et._1956749708,3,2020-08-04,0,1,85,7,0,0,17.492094911507404,0.5882352941176471
/moskva/kvartiry/1-k_kvartira_90_m_1313_et._1904817047,2,2020-08-12,0,1,90,13,0,0,2.04826394173432,3.2222222222222223
/moskva/kvartiry/2-k_kvartira_100_m_1024_et._1948873260,1,2020-08-02,0,2,100,10,0,0,11.695518580447414,0.63
/moskva/kvartiry/2-k_kvartira_100_m_1420_et._1965182085,6,2020-08-13,0,2,100,14,0,0,13.35746983723144,0.5
/moskva/kvartiry/2-k_kvartira_100_m_2125_et._1960687757,8,2020-08-03,0,2,100,21,0,0,8.854535352572697,1.0
/moskva/kvartiry/2-k_kvartira_100_m_218_et._1952871802,3,2020-08-06,0,2,100,2,0,0,8.710491973192113,1.6
/moskva/kvartiry/2-k_kvartira_100_m_2232_et._1981331226,10,2020-08-04,0,2,100,22,0,0,7.37912726359075,1.15
/moskva/kvartiry/2-k_kvartira_100_m_36_et._1926030643,3,2020-08-02,0,2,100,3,0,0,0.2146959541557752,1.5
/moskva/kvartiry/2-k_kvartira_100_m_37_et._1812692892,3,2020-08-08,0,2,100,3,0,1,3.082867206614293,1.3
/moskva/kvartiry/2-k_kvartira_100_m_39_et._1873536858,4,2020-08-06,0,2,100,3,0,0,1.7610692492100228,1.3
/moskva/kvartiry/2-k_kvartira_100_m_4975_et._1966543808,3,2020-08-03,0,2,100,49,0,0,4.96170717996517,2.8
/moskva/kvartiry/2-k_kvartira_100_m_57_et._1976350194,2,2020-08-04,0,2,100,5,0,0,2.350441672322792,3.0
/moskva/kvartiry/2-k_kvartira_100_m_622_et._1980584697,11,2020-08-01,0,2,100,6,0,0,13.35746983723144,1.0
/moskva/kvartiry/2-k_kvartira_100_m_825_et._1969363747,8,2020-08-07,0,2,100,8,0,0,10.34751529893556,0.83
/moskva/kvartiry/2-k_kvartira_100_m_979_et._1967632194,5,2020-08-06,0,2,100,9,0,0,4.748225143761476,3.0
/moskva/kvartiry/2-k_kvartira_101_m_212_et._1952780503,9,2020-08-05,0,2,101,2,0,0,3.9429748736368015,4.9504950495049505
/moskva/kvartiry/2-k_kvartira_101_m_3255_et._1568152318,8,2020-08-03,0,2,101,32,0,0,8.472844364103706,1.2376237623762376
/moskva/kvartiry/2-k_kvartira_102_m_517_et._1963077180,5,2020-08-09,0,2,102,5,0,0,2.3455564591601026,1.4705882352941178
/moskva/kvartiry/2-k_kvartira_102_m_722_et._1970394818,4,2020-08-05,0,2,102,7,0,0,12.785580057042635,0.8333333333333334
/moskva/kvartiry/2-k_kvartira_103_m_88_et._1809610684,8,2020-08-04,0,2,103,8,0,0,4.174283391931213,1.4563106796116505
/moskva/kvartiry/2-k_kvartira_104_m_2234_et._1375012819,10,2020-08-13,0,2,104,22,0,0,7.37912726359075,1.0576923076923077
/moskva/kvartiry/2-k_kvartira_105_m_3073_et._1886108217,3,2020-08-07,0,2,105,30,0,0,4.96170717996517,3.1904761904761907
/moskva/kvartiry/2-k_kvartira_105_m_441_et._1902598003,5,2020-08-12,0,2,105,4,0,0,12.86651739103494,1.2857142857142858
/moskva/kvartiry/2-k_kvartira_105_m_5875_et._1920790241,3,2020-08-11,0,2,105,58,0,0,4.96170717996517,4.285714285714286
/moskva/kvartiry/2-k_kvartira_105_m_58_et._1890253436,1,2020-08-05,0,2,105,5,0,0,1.7647730473566627,1.5714285714285714
/moskva/kvartiry/2-k_kvartira_106_m_1010_et._1961676431,13,2020-08-01,0,2,106,10,0,0,10.34751529893556,0.8018867924528302
/moskva/kvartiry/2-k_kvartira_106_m_3573_et._1905305357,3,2020-08-05,0,2,106,35,0,0,4.96170717996517,3.018867924528302
/moskva/kvartiry/2-k_kvartira_108_m_2376_et._1966534740,3,2020-08-03,0,2,108,23,0,0,4.96170717996517,2.7777777777777777
/moskva/kvartiry/2-k_kvartira_108_m_29_et._1953956283,6,2020-08-12,0,2,108,2,0,0,1.450401635817082,1.8518518518518519
/moskva/kvartiry/2-k_kvartira_108_m_834_et._1465032828,1,2020-08-01,0,2,108,8,0,0,5.393321360196851,1.1111111111111112
/moskva/kvartiry/2-k_kvartira_110_m_1423_et._1897734364,4,2020-08-06,0,2,110,14,0,0,8.588168507674624,2.1818181818181817
/moskva/kvartiry/2-k_kvartira_110_m_1425_et._1834239928,7,2020-08-06,0,2,110,14,0,0,5.770411275331013,0.8181818181818182
/moskva/kvartiry/2-k_kvartira_110_m_1619_et._1888873902,4,2020-08-11,0,2,110,16,1,0,8.86937145169443,1.8181818181818181
/moskva/kvartiry/2-k_kvartira_110_m_2237_et._1841846137,8,2020-08-10,0,2,110,22,0,0,8.472844364103706,1.7272727272727273
/moskva/kvartiry/2-k_kvartira_110_m_3053_et._1969063482,16,2020-08-03,0,2,110,30,0,0,6.8322428413998,1.6363636363636365
/moskva/kvartiry/2-k_kvartira_110_m_3255_et._1926373145,8,2020-08-01,0,2,110,32,0,0,8.472844364103706,1.1363636363636365
/moskva/kvartiry/2-k_kvartira_110_m_512_et._1178037848,4,2020-08-11,0,2,110,5,0,0,2.04826394173432,2.0
